Дата,Курс (грн.),Курс (грн.).1,Unnamed: 3
01.09.2023 Пт,96264,0.0049,+0.051 %
04.09.2023 Пн,96302,0.0038,+0.039 %
05.09.2023 Вт,95852,-0.045,-0.467 %
06.09.2023 Ср,96370,0.0518,+0.540 %
07.09.2023 Чт,95993,-0.0377,-0.391 %
08.09.2023 Пт,94991,-0.1002,-1.044 %
11.09.2023 Пн,94954,-0.0037,-0.039 %
12.09.2023 Вт,95268,0.0314,+0.331 %
13.09.2023 Ср,96185,0.0917,+0.963 %
14.09.2023 Чт,95774,-0.0411,-0.427 %
15.09.2023 Пт,95629,-0.0145,-0.151 %
18.09.2023 Пн,96069,0.044,+0.460 %
19.09.2023 Вт,95497,-0.0572,-0.595 %
20.09.2023 Ср,96145,0.0648,+0.679 %
21.09.2023 Чт,95973,-0.0172,-0.179 %
22.09.2023 Пт,96006,0.0033,+0.034 %
25.09.2023 Пн,96028,0.0022,+0.023 %
26.09.2023 Вт,96122,0.0094,+0.098 %
27.09.2023 Ср,95699,-0.0423,-0.440 %
28.09.2023 Чт,95137,-0.0562,-0.587 %
29.09.2023 Пт,95025,-0.0112,-0.118 %
02.10.2023 Пн,95664,0.0639,+0.672 %
03.10.2023 Вт,95402,-0.0262,-0.274 %
04.10.2023 Ср,95101,-0.0301,-0.316 %
05.10.2023 Чт,94766,-0.0335,-0.352 %
06.10.2023 Пт,94786,0.002,+0.021 %
09.10.2023 Пн,94852,0.0066,+0.070 %
10.10.2023 Вт,93192,-0.166,-1.750 %
11.10.2023 Ср,92401,-0.0791,-0.849 %
12.10.2023 Чт,92142,-0.0259,-0.280 %
13.10.2023 Пт,91948,-0.0194,-0.211 %
16.10.2023 Пн,91512,-0.0436,-0.474 %
17.10.2023 Вт,91075,-0.0437,-0.478 %
18.10.2023 Ср,91273,0.0198,+0.217 %
19.10.2023 Чт,90816,-0.0457,-0.501 %
20.10.2023 Пт,90801,-0.0015,-0.017 %
23.10.2023 Пн,90051,-0.075,-0.826 %
24.10.2023 Вт,89988,-0.0063,-0.070 %
25.10.2023 Ср,90047,0.0059,+0.066 %
26.10.2023 Чт,89874,-0.0173,-0.192 %
27.10.2023 Пт,89474,-0.04,-0.445 %
30.10.2023 Пн,89519,0.0045,+0.050 %
31.10.2023 Вт,89702,0.0183,+0.204 %
01.11.2023 Ср,90205,0.0503,+0.561 %
02.11.2023 Чт,90056,-0.0149,-0.165 %
03.11.2023 Пт,91532,0.1476,+1.639 %
06.11.2023 Пн,91082,-0.045,-0.492 %
07.11.2023 Вт,92802,0.172,+1.888 %
08.11.2023 Ср,93261,0.0459,+0.495 %
09.11.2023 Чт,93571,0.031,+0.332 %
10.11.2023 Пт,93710,0.0139,+0.149 %
13.11.2023 Пн,92989,-0.0721,-0.769 %
14.11.2023 Вт,93591,0.0602,+0.647 %
15.11.2023 Ср,94746,0.1155,+1.234 %
16.11.2023 Чт,96276,0.153,+1.615 %
17.11.2023 Пт,95914,-0.0362,-0.376 %
20.11.2023 Пн,97065,0.1151,+1.200 %
21.11.2023 Вт,96526,-0.0539,-0.555 %
22.11.2023 Ср,97131,0.0605,+0.627 %
23.11.2023 Чт,96766,-0.0365,-0.376 %
24.11.2023 Пт,96385,-0.0381,-0.394 %
27.11.2023 Пн,96449,0.0064,+0.066 %
28.11.2023 Вт,97168,0.0719,+0.745 %
29.11.2023 Ср,98240,0.1072,+1.103 %
30.11.2023 Чт,98999,0.0759,+0.773 %
01.12.2023 Пт,97824,-0.1175,-1.187 %
04.12.2023 Пн,97768,-0.0056,-0.057 %
05.12.2023 Вт,98375,0.0607,+0.621 %
06.12.2023 Ср,98347,-0.0028,-0.028 %
07.12.2023 Чт,98950,0.0603,+0.613 %
08.12.2023 Пт,99117,0.0167,+0.169 %
11.12.2023 Пн,99148,0.0031,+0.031 %
12.12.2023 Вт,99256,0.0108,+0.109 %
13.12.2023 Ср,99723,0.0467,+0.471 %
14.12.2023 Чт,99928,0.0205,+0.206 %
15.12.2023 Пт,100389,0.0461,+0.461 %
18.12.2023 Пн,100856,0.0467,+0.465 %
19.12.2023 Вт,101808,0.0952,+0.944 %
20.12.2023 Ср,102242,0.0434,+0.426 %
21.12.2023 Чт,102864,0.0622,+0.608 %
22.12.2023 Пт,103995,0.1131,+1.100 %
25.12.2023 Пн,104136,0.0141,+0.136 %
26.12.2023 Вт,104258,0.0122,+0.117 %
27.12.2023 Ср,102963,-0.1295,-1.242 %
28.12.2023 Чт,103930,0.0967,+0.939 %
29.12.2023 Пт,104938,0.1008,+0.970 %
01.01.2024 Пн,105027,0.0089,+0.085 %
02.01.2024 Вт,104809,-0.0218,-0.208 %
